Superfamily,Family,Subfamily,Tribe,Genus
,,,,
Acanthopteroctetoidea,Acanthopteroctetidae,NA,NA,ACANTHOPTEROCTETES
,,,,
Agathiphagoidea,Agathiphagidae,NA,NA,AGATHIPHAGA
,,,,
Alucitoidea,Alucitidae,NA,NA,ALINGUATA
,,,,
Alucitoidea,Alucitidae,NA,NA,ALUCITA
,,,,
Alucitoidea,Alucitidae,NA,NA,HEBDOMACTIS
,,,,
Alucitoidea,Alucitidae,NA,NA,HEXERETMIS
,,,,
Alucitoidea,Alucitidae,NA,NA,MICROSCHISMUS
,,,,
Alucitoidea,Alucitidae,NA,NA,PAELIA
,,,,
Alucitoidea,Alucitidae,NA,NA,PRYMNOTOMIS
,,,,
Alucitoidea,Alucitidae,NA,NA,PTEROTOPTERYX
,,,,
Alucitoidea,Alucitidae,NA,NA,TRISCAEDECIA
,,,,
Alucitoidea,Tineodidae,NA,NA,ANOMIMA
,,,,
Alucitoidea,Tineodidae,NA,NA,CENOLOBA
,,,,
Alucitoidea,Tineodidae,NA,NA,EPHARPASTIS
,,,,
Alucitoidea,Tineodidae,NA,NA,EUTHESAURA
,,,,
Alucitoidea,Tineodidae,NA,NA,EUTHRAUSTA
,,,,
Alucitoidea,Tineodidae,NA,NA,NEOXYCHIROTA
,,,,
Alucitoidea,Tineodidae,NA,NA,OXYCHIROTA
,,,,
Alucitoidea,Tineodidae,NA,NA,PALAEODES
,,,,
Alucitoidea,Tineodidae,NA,NA,TANYCNEMA
,,,,
Alucitoidea,Tineodidae,NA,NA,TEPHRONIOPSIS
,,,,
Alucitoidea,Tineodidae,NA,NA,TINEODES
,,,,
Bombycoidea,Anthelidae,Anthelinae,NA,ANTHELA
,,,,
Bombycoidea,Anthelidae,Anthelinae,NA,CHELEPTERYX
,,,,
Bombycoidea,Anthelidae,Anthelinae,NA,CHENUALA
,,,,
Bombycoidea,Anthelidae,Anthelinae,NA,CORTICOMIS
,,,,
Bombycoidea,Anthelidae,Anthelinae,NA,NATAXA
,,,,
Bombycoidea,Anthelidae,Anthelinae,NA,OMPHALIODES
,,,,
Bombycoidea,Anthelidae,Anthelinae,NA,PTEROLOCERA
,,,,
Bombycoidea,Anthelidae,Munychryiinae,NA,GEPHYRONEURA
,,,,
Bombycoidea,Anthelidae,Munychryiinae,NA,MUNYCHRYIA
,,,,
Bombycoidea,Apatelodidae,NA,NA,CARNOTENA
,,,,
Bombycoidea,Apatelodidae,NA,NA,COLABATA
,,,,
Bombycoidea,Apatelodidae,NA,NA,DREPATELODES
,,,,
Bombycoidea,Apatelodidae,NA,NA,FALCATELODES
,,,,
Bombycoidea,Apatelodidae,NA,NA,HYGROCHROA
,,,,
Bombycoidea,Apatelodidae,NA,NA,OLCECLOSTERA
,,,,
Bombycoidea,Apatelodidae,NA,NA,THELOSIA
,,,,
Bombycoidea,Apatelodidae,NA,NA,THYRIOCLOSTERA
,,,,
Bombycoidea,Apatelodidae,NA,NA,ZANOLA
,,,,
Bombycoidea,Apatelodidae,NA,NA,ZOLESSIA
,,,,
Bombycoidea,Bombycidae,Bombycinae,NA,AMUSARON
,,,,
Bombycoidea,Bombycidae,Bombycinae,NA,BIVINCULA
,,,,
Bombycoidea,Bombycidae,Bombycinae,NA,BIVINCULATA
,,,,
Bombycoidea,Bombycidae,Bombycinae,NA,BOMBYX
,,,,
Bombycoidea,Bombycidae,Bombycinae,NA,ELACHYOPHTALMA
,,,,
Bombycoidea,Bombycidae,Bombycinae,NA,ERNOLATIA
,,,,
Bombycoidea,Bombycidae,Bombycinae,NA,GASTRIDIOTA
,,,,
Bombycoidea,Bombycidae,Bombycinae,NA,GNATHOCINARA
,,,,
Bombycoidea,Bombycidae,Bombycinae,NA,GUNDA
,,,,
Bombycoidea,Bombycidae,Bombycinae,NA,OCINARA
,,,,
Bombycoidea,Bombycidae,Bombycinae,NA,PENICILLIFERA
,,,,
Bombycoidea,Bombycidae,Bombycinae,NA,RACINOA
,,,,
Bombycoidea,Bombycidae,Bombycinae,NA,RONDOTIA
,,,,
Bombycoidea,Bombycidae,Bombycinae,NA,TRILOCHA
,,,,
Bombycoidea,Bombycidae,Bombycinae,NA,TRIUNCINA
,,,,
Bombycoidea,Bombycidae,Bombycinae,NA,VINCULINULA
,,,,
Bombycoidea,Bombycidae,Bombycinae,NA,VINGERHOEDTIA
,,,,
Bombycoidea,Bombycidae,Epiinae,NA,ANTICLA
,,,,
Bombycoidea,Bombycidae,Epiinae,NA,AROTROS
,,,,
Bombycoidea,Bombycidae,Epiinae,NA,CHENEYA
,,,,
Bombycoidea,Bombycidae,Epiinae,NA,COLLA
,,,,
Bombycoidea,Bombycidae,Epiinae,NA,EPIA
,,,,
Bombycoidea,Bombycidae,Epiinae,NA,MOESCHLERIA
,,,,
Bombycoidea,Bombycidae,Epiinae,NA,PROTHYSANA
,,,,
Bombycoidea,Bombycidae,Epiinae,NA,QUENTALIA
,,,,
Bombycoidea,Bombycidae,Epiinae,NA,TAMPHANA
,,,,
Bombycoidea,Bombycidae,Subfamily unassigned,NA,NAPREPA
,,,,
Bombycoidea,Brahmaeidae,NA,NA,ACANTHOBRAHMAEA
,,,,
Bombycoidea,Brahmaeidae,NA,NA,BRAHMAEA
,,,,
Bombycoidea,Brahmaeidae,NA,NA,BRAHMAEOPS
,,,,
Bombycoidea,Brahmaeidae,NA,NA,BRAHMIDIA
,,,,
Bombycoidea,Brahmaeidae,NA,NA,CALLIPROGONOS
,,,,
Bombycoidea,Brahmaeidae,NA,NA,DACTYLOCERAS
,,,,
Bombycoidea,Brahmaeidae,NA,NA,LEMONIA
,,,,
Bombycoidea,Brahmaeidae,NA,NA,SABALIA
,,,,
Bombycoidea,Brahmaeidae,NA,NA,SPIRAMIOPSIS
,,,,
Bombycoidea,Carthaeidae,NA,NA,CARTHAEA
,,,,
Bombycoidea,Endromidae,NA,NA,ANDRACA
,,,,
Bombycoidea,Endromidae,NA,NA,DALAILAMA
,,,,
Bombycoidea,Endromidae,NA,NA,ENDROMIS
,,,,
Bombycoidea,Endromidae,NA,NA,FALCOGONA
,,,,
Bombycoidea,Endromidae,NA,NA,MIRINA
,,,,
Bombycoidea,Endromidae,NA,NA,MUSTILIA
,,,,
Bombycoidea,Endromidae,NA,NA,MUSTILIZANS
,,,,
Bombycoidea,Endromidae,NA,NA,OBERTHUERIA
,,,,
Bombycoidea,Endromidae,NA,NA,PRISMOSTICTA
,,,,
Bombycoidea,Endromidae,NA,NA,PRISMOSTICTOIDES
,,,,
Bombycoidea,Endromidae,NA,NA,PROMUSTILIA
,,,,
Bombycoidea,Endromidae,NA,NA,PSEUDANDRACA
,,,,
Bombycoidea,Endromidae,NA,NA,SESQUILUNA
,,,,
Bombycoidea,Endromidae,NA,NA,SMERKATA
,,,,
Bombycoidea,Endromidae,NA,NA,THEOPHOBA
,,,,
Bombycoidea,Eupterotidae,Eupterotinae,NA,COTANA
,,,,
Bombycoidea,Eupterotidae,Eupterotinae,NA,DREATA
,,,,
Bombycoidea,Eupterotidae,Eupterotinae,NA,EUPTEROTE
,,,,
Bombycoidea,Eupterotidae,Eupterotinae,NA,LASIOMORPHA
,,,,
Bombycoidea,Eupterotidae,Eupterotinae,NA,MELANERGON
,,,,
Bombycoidea,Eupterotidae,Eupterotinae,NA,NISAGA
,,,,
Bombycoidea,Eupterotidae,Eupterotinae,NA,PALIRISA
,,,,
Bombycoidea,Eupterotidae,Eupterotinae,NA,PARACYDAS
,,,,
Bombycoidea,Eupterotidae,Eupterotinae,NA,PHIALA
,,,,
Bombycoidea,Eupterotidae,Eupterotinae,NA,RARISQUAMOSA
,,,,
Bombycoidea,Eupterotidae,Eupterotinae,NA,SANGATISSA
,,,,
Bombycoidea,Eupterotidae,Eupterotinae,NA,SARMALIA
,,,,
Bombycoidea,Eupterotidae,Ganisa,NA,APHA
,,,,
Bombycoidea,Eupterotidae,Ganisa,NA,APONA
,,,,
Bombycoidea,Eupterotidae,Ganisa,NA,GANISA
,,,,
Bombycoidea,Eupterotidae,Ganisa,NA,HEMIJANA_AUCTORUM
,,,,
Bombycoidea,Eupterotidae,Ganisa,NA,MELANOTHRIX
,,,,
Bombycoidea,Eupterotidae,Ganisa,NA,NEOPREPTOS
,,,,
Bombycoidea,Eupterotidae,Ganisa,NA,PANDALA
,,,,
Bombycoidea,Eupterotidae,Ganisa,NA,POLOMA
,,,,
Bombycoidea,Eupterotidae,Ganisa,NA,PREPTOS
,,,,
Bombycoidea,Eupterotidae,Ganisa,NA,PSEUDOGANISA
,,,,
Bombycoidea,Eupterotidae,Ganisa,NA,PSEUDOJANA
,,,,
Bombycoidea,Eupterotidae,Hibrildinae,NA,HIBRILDES
,,,,
Bombycoidea,Eupterotidae,Janinae,NA,ACROJANA
,,,,
Bombycoidea,Eupterotidae,Janinae,NA,CAMERUNIA
,,,,
Bombycoidea,Eupterotidae,Janinae,NA,CATAJANA
,,,,
Bombycoidea,Eupterotidae,Janinae,NA,DREPANOJANA
,,,,
