FS.a_167_Baronia_brevicornis,Baronia_brevicornis
NW167_15_Parnassius_phoebus,Parnassius_phoebus
FS_b_1597_Hypermnestra_helios,Hypermnestra_helios
FS_b_1868_Archon_apollinus,Archon_apollinus
FS_a_335_Luehdorfia_japonica,Luehdorfia_japonica
FS_a_399_Sericinus_montela,Sericinus_montela
FS_b_1589_Bhutanitis_mansfieldi,Bhutanitis_mansfieldi
FS_a_342_Allancastria_cerisyi,Allancastria_cerisyi
FS_a_88_Zerynthia_rumina,Zerynthia_rumina
FS_a_6_Iphiclides_podalirius,Iphiclides_podalirius
FS_b_3714_Lamproptera_meges,Lamproptera_meges
FS.b_900_Graphium_agamemnon,Graphium_agamemnon
FS_b_1918_Eurytides_serville,Eurytides_serville
05_srnp_57565_Mimoides_branchus,Mimoides_branchus
FS_a_7_Protographium_marcellus,Protographium_marcellus
NW152_19_Protesilaus_zonarius,Protesilaus_zonarius
FS_b_3703_Meandrusa_payeni,Meandrusa_payeni
NW69_3_Papilio_glaucus,Papilio_glaucus
FS_a_3_Battus_philenor,Battus_philenor
FS_b_3721_Euryades_duponchelli,Euryades_duponchelli
FS_b_1646_Pharmacophagus_antenor,Pharmacophagus_antenor
FS_b_1827_Cressida_cressida,Cressida_cressida
DHJ_02_2492_Parides_iphidamas,Parides_iphidamas
FS_b_3706_Losaria_neptunus,Losaria_neptunus
FS_b_974_Troides_helena,Troides_helena
FS_b_3776_Ornithoptera_euphorion,Ornithoptera_euphorion
NW150_3_Macrosoma_tipulata,Macrosoma_tipulata
RWH_96_0878_Macrosoma_bahiata,Macrosoma_bahiata
FS.b_983_Macrosoma_heliconiaria,Macrosoma_heliconiaria
AW97_Hasora_khoda,Hasora_khoda
370_ADW_Badamia_exclamationis,Badamia_exclamationis
633_MCZ_Bibasis_sena,Bibasis_sena
383_ADW_Burara_aquilina,Burara_aquilina
595_MCZ_Choaspes_stigmata,Choaspes_stigmata
533_ADW_Coeliades_forestan,Coeliades_forestan
189_ADW_Gesta_invisus,Gesta_invisus
52_ADW_Erynnis_afranius,Erynnis_afranius
637_ADW_Sostrata_nordica,Sostrata_nordica
UK47_Anastrus_sp_,Anastrus_sp
UK54_Potamanaxas_sp_,Potamanaxas_sp
176_ADW_Mylon_pelopidas,Mylon_pelopidas
483_ADW_Theagenes_dichrous,Theagenes_dichrous
180_ADW_Gorgythion_begga,Gorgythion_begga
ADW258_Chiomara_georgina,Chiomara_georgina
177_ADW_Timochares_trifasciata,Timochares_trifasciata
81_ADW_Camptopleura_auxo,Camptopleura_auxo
435_ADW_Helias_phalaenoides,Helias_phalaenoides
UK35_Cycloglypha_sp_,Cycloglypha_sp
485_ADW_Ebrietas_anacreon,Ebrietas_anacreon
UK49_Eantis_thraso,Eantis_thraso
NW85_8_Achlyodes_busiris,Achlyodes_busiris
521_ADW_Aethilla_lavochrea,Aethilla_lavochrea
UK71_Spioniades_artemides,Spioniades_artemides
UK34_Cabirus_procas,Cabirus_procas
511_ADW_Pythonides_jovianus,Pythonides_jovianus
UK39_Zera_nolckeni,Zera_nolckeni
