Family,Genus,Species,Host_family,Host_name
Papilionidae,Baronia,Baronia brevicornis,Leguminosae (m),Acacia cochliacantha
,,,,
Hesperiidae,Timochares,Timochares ruptifasciatus,Malpighiaceae,Malpighia glabra
,,,,
Hesperiidae,Timochares,Timochares ruptifasciatus,Malpighiaceae,Malpighia glabra
,,,,
Hesperiidae,Cycloglypha,Cycloglypha thrasibulus,Annonaceae,Annona
,,,,
Hesperiidae,Cycloglypha,Cycloglypha thrasibulus,Annonaceae,Guatteria
,,,,
Hesperiidae,Cycloglypha,Cycloglypha thrasibulus,Styracaceae,Styrax ferrugineus
,,,,
Hesperiidae,Cycloglypha,Cycloglypha tisias,Rutaceae,Citrus
,,,,
Hesperiidae,Achlyodes,Achlyodes busirus,Rutaceae,Citrus limonia
,,,,
Hesperiidae,Achlyodes,Achlyodes busirus,Rutaceae,Citrus sinensis
,,,,
Hesperiidae,Achlyodes,Achlyodes busirus,Rutaceae,Zanthoxylum rhoifolium
,,,,
Hesperiidae,Achlyodes,Achlyodes busirus,Rutaceae,Citrus aurantium
,,,,
Hesperiidae,Achlyodes,Achlyodes mithridates,Rutaceae,Citrus
,,,,
Hesperiidae,Achlyodes,Achlyodes mithridates,Rutaceae,Citrus
,,,,
Hesperiidae,Achlyodes,Achlyodes mithridates,Rutaceae,Citrus aurantifolia
,,,,
Hesperiidae,Achlyodes,Achlyodes mithridates,Rutaceae,Citrus sinensis
,,,,
Hesperiidae,Achlyodes,Achlyodes mithridates,Rutaceae,Zanthoxylum monophyllum
,,,,
Hesperiidae,Achlyodes,Achlyodes mithridates,Rutaceae,Citrus paradisi
,,,,
Hesperiidae,Achlyodes,Achlyodes mithridates,Rutaceae,Citrus aurantifolia
,,,,
Hesperiidae,Achlyodes,Achlyodes mithridates,Rutaceae,Zanthoxylum martinicense
,,,,
Hesperiidae,Achlyodes,Achlyodes mithridates,Rutaceae,Citrus
,,,,
Hesperiidae,Achlyodes,Achlyodes mithridates,Rutaceae,Citrus
,,,,
Hesperiidae,Achlyodes,Achlyodes mithridates,Rutaceae,Zanthoxylum fagara
,,,,
Hesperiidae,Achlyodes,Achlyodes mithridates,Rutaceae,Zanthoxylum rhoifolium
,,,,
Hesperiidae,Achlyodes,Achlyodes pallida,Rutaceae,Citrus
,,,,
Hesperiidae,Achlyodes,Achlyodes thraso,Rutaceae,Citrus X paradisi
,,,,
Hesperiidae,Achlyodes,Achlyodes thraso,Rutaceae,Citrus aurantifolia
,,,,
Hesperiidae,Achlyodes,Achlyodes thraso,Rutaceae,Citrus limon
,,,,
Hesperiidae,Achlyodes,Achlyodes thraso,Rutaceae,Citrus sinensis
,,,,
Hesperiidae,Achlyodes,Achlyodes thraso,Rutaceae,Zanthoxylum fagara
,,,,
Hesperiidae,Achlyodes,Achlyodes thraso,Rutaceae,Zanthoxylum monophyllum
,,,,
Hesperiidae,Pythonides,Pythonides herennius,Annonaceae,
,,,,
Hesperiidae,Pythonides,Pythonides jovianus,Monimiaceae,Siparuna guianensis
,,,,
Papilionidae,Baronia,Baronia brevicornis,Leguminosae (m),Acacia cochliacantha
,,,,
Hesperiidae,Timochares,Timochares ruptifasciatus,Malpighiaceae,Malpighia glabra
,,,,
Hesperiidae,Timochares,Timochares ruptifasciatus,Malpighiaceae,Malpighia glabra
,,,,
Hesperiidae,Cycloglypha,Cycloglypha thrasibulus,Annonaceae,Annona
,,,,
Hesperiidae,Cycloglypha,Cycloglypha thrasibulus,Annonaceae,Guatteria
,,,,
Hesperiidae,Cycloglypha,Cycloglypha thrasibulus,Styracaceae,Styrax ferrugineus
,,,,
Hesperiidae,Cycloglypha,Cycloglypha tisias,Rutaceae,Citrus
,,,,
Hesperiidae,Achlyodes,Achlyodes busirus,Rutaceae,Citrus limonia
,,,,
Hesperiidae,Achlyodes,Achlyodes busirus,Rutaceae,Citrus sinensis
,,,,
Hesperiidae,Achlyodes,Achlyodes busirus,Rutaceae,Zanthoxylum rhoifolium
,,,,
Hesperiidae,Achlyodes,Achlyodes busirus,Rutaceae,Citrus aurantium
,,,,
Hesperiidae,Achlyodes,Achlyodes mithridates,Rutaceae,Citrus
,,,,
Hesperiidae,Achlyodes,Achlyodes mithridates,Rutaceae,Citrus
,,,,
Hesperiidae,Achlyodes,Achlyodes mithridates,Rutaceae,Citrus aurantifolia
,,,,
Hesperiidae,Achlyodes,Achlyodes mithridates,Rutaceae,Citrus sinensis
,,,,
Hesperiidae,Achlyodes,Achlyodes mithridates,Rutaceae,Zanthoxylum monophyllum
,,,,
Hesperiidae,Achlyodes,Achlyodes mithridates,Rutaceae,Citrus paradisi
,,,,
Hesperiidae,Achlyodes,Achlyodes mithridates,Rutaceae,Citrus aurantifolia
,,,,
Hesperiidae,Achlyodes,Achlyodes mithridates,Rutaceae,Zanthoxylum martinicense
,,,,
Hesperiidae,Achlyodes,Achlyodes mithridates,Rutaceae,Citrus
,,,,
Hesperiidae,Achlyodes,Achlyodes mithridates,Rutaceae,Citrus
,,,,
Hesperiidae,Achlyodes,Achlyodes mithridates,Rutaceae,Zanthoxylum fagara
,,,,
Hesperiidae,Achlyodes,Achlyodes mithridates,Rutaceae,Zanthoxylum rhoifolium
,,,,
Hesperiidae,Achlyodes,Achlyodes pallida,Rutaceae,Citrus
,,,,
Hesperiidae,Achlyodes,Achlyodes thraso,Rutaceae,Citrus X paradisi
,,,,
Hesperiidae,Achlyodes,Achlyodes thraso,Rutaceae,Citrus aurantifolia
,,,,
Hesperiidae,Achlyodes,Achlyodes thraso,Rutaceae,Citrus limon
,,,,
Hesperiidae,Achlyodes,Achlyodes thraso,Rutaceae,Citrus sinensis
,,,,
Hesperiidae,Achlyodes,Achlyodes thraso,Rutaceae,Zanthoxylum fagara
,,,,
Hesperiidae,Achlyodes,Achlyodes thraso,Rutaceae,Zanthoxylum monophyllum
,,,,
Hesperiidae,Pythonides,Pythonides herennius,Annonaceae,
,,,,
Hesperiidae,Pythonides,Pythonides jovianus,Monimiaceae,Siparuna guianensis
,,,,
Papilionidae,Baronia,Baronia brevicornis,Leguminosae (m),Acacia cochliacantha
,,,,
Hesperiidae,Timochares,Timochares ruptifasciatus,Malpighiaceae,Malpighia glabra
,,,,
Hesperiidae,Timochares,Timochares ruptifasciatus,Malpighiaceae,Malpighia glabra
,,,,
Hesperiidae,Cycloglypha,Cycloglypha thrasibulus,Annonaceae,Annona
,,,,
Hesperiidae,Cycloglypha,Cycloglypha thrasibulus,Annonaceae,Guatteria
,,,,
Hesperiidae,Cycloglypha,Cycloglypha thrasibulus,Styracaceae,Styrax ferrugineus
,,,,
Hesperiidae,Cycloglypha,Cycloglypha tisias,Rutaceae,Citrus
,,,,
Hesperiidae,Achlyodes,Achlyodes busirus,Rutaceae,Citrus limonia
,,,,
Hesperiidae,Achlyodes,Achlyodes busirus,Rutaceae,Citrus sinensis
,,,,
Hesperiidae,Achlyodes,Achlyodes busirus,Rutaceae,Zanthoxylum rhoifolium
,,,,
Hesperiidae,Achlyodes,Achlyodes busirus,Rutaceae,Citrus aurantium
,,,,
Hesperiidae,Achlyodes,Achlyodes mithridates,Rutaceae,Citrus
,,,,
Hesperiidae,Achlyodes,Achlyodes mithridates,Rutaceae,Citrus
,,,,
Hesperiidae,Achlyodes,Achlyodes mithridates,Rutaceae,Citrus aurantifolia
,,,,
Hesperiidae,Achlyodes,Achlyodes mithridates,Rutaceae,Citrus sinensis
,,,,
Hesperiidae,Achlyodes,Achlyodes mithridates,Rutaceae,Zanthoxylum monophyllum
,,,,
Hesperiidae,Achlyodes,Achlyodes mithridates,Rutaceae,Citrus paradisi
,,,,
Hesperiidae,Achlyodes,Achlyodes mithridates,Rutaceae,Citrus aurantifolia
,,,,
Hesperiidae,Achlyodes,Achlyodes mithridates,Rutaceae,Zanthoxylum martinicense
,,,,
Hesperiidae,Achlyodes,Achlyodes mithridates,Rutaceae,Citrus
,,,,
Hesperiidae,Achlyodes,Achlyodes mithridates,Rutaceae,Citrus
,,,,
Hesperiidae,Achlyodes,Achlyodes mithridates,Rutaceae,Zanthoxylum fagara
,,,,
Hesperiidae,Achlyodes,Achlyodes mithridates,Rutaceae,Zanthoxylum rhoifolium
,,,,
Hesperiidae,Achlyodes,Achlyodes pallida,Rutaceae,Citrus
,,,,
Hesperiidae,Achlyodes,Achlyodes thraso,Rutaceae,Citrus X paradisi
,,,,
Hesperiidae,Achlyodes,Achlyodes thraso,Rutaceae,Citrus aurantifolia
,,,,
Hesperiidae,Achlyodes,Achlyodes thraso,Rutaceae,Citrus limon
,,,,
Hesperiidae,Achlyodes,Achlyodes thraso,Rutaceae,Citrus sinensis
,,,,
