Genus,Name_data
POTAMANAXAS,POTAMANAXAS Lindsey 1925 - Valid Name
,
POTAMANAXAS,* POTAMANAX Watson 1893 - Junior homonym
,
POTAMANAXAS,andraemon Mabille 1897 - Valid Name
,
POTAMANAXAS,forum Evans 1953 - Valid Name
,
POTAMANAXAS,fuma Evans 1953 - Valid Name
,
POTAMANAXAS,* perornatus Hayward 1940 - Junior subjective synonym
,
POTAMANAXAS,bana Bell 1956 - Valid Name
,
POTAMANAXAS,effusa Draudt 1922 - Valid Name
,
POTAMANAXAS,confusa Draudt 1922 - Valid Name
,
POTAMANAXAS,flavofasciata Hewitson 1870 - Valid Name
,
POTAMANAXAS,pantra Evans 1953 - Valid Name
,
POTAMANAXAS,frenda Evans 1953 - Valid Name
,
POTAMANAXAS,hirta Weeks 1901 - Valid Name
,
POTAMANAXAS,* fassli Draudt 1922 - Junior subjective synonym
,
POTAMANAXAS,paphos Evans 1953 - Valid Name
,
POTAMANAXAS,* pisates Druce 1912 - Junior subjective synonym
,
POTAMANAXAS,laoma Hewitson 1870 - Valid Name
,
POTAMANAXAS,fumida Draudt 1922 - Valid Name
,
POTAMANAXAS,cosna Evans 1953 - Valid Name
,
POTAMANAXAS,trex Evans 1953 - Valid Name
,
POTAMANAXAS,trigga Evans 1953 - Valid Name
,
POTAMANAXAS,violacea Dognin 1888 - Valid Name
,
POTAMANAXAS,latrea Hewitson 1875 - Valid Name
,
POTAMANAXAS,caliadne Godman & Salvin 1895 - Valid Name
,
POTAMANAXAS,tusca Evans 1953 - Valid Name
,
POTAMANAXAS,tyndarus Evans 1953 - Valid Name
,
POTAMANAXAS,melicertes Godman & Salvin 1895 - Valid Name
,
POTAMANAXAS,quira Bell 1956 - Valid Name
,
POTAMANAXAS,thestia Hewitson 1870 - Valid Name
,
POTAMANAXAS,cranda Evans 1953 - Valid Name
,
POTAMANAXAS,paralus Godman & Salvin 1895 - Valid Name
,
POTAMANAXAS,thoria Hewitson 1870 - Valid Name
,
POTAMANAXAS,* pammenes Godman & Salvin 1895 - Junior subjective synonym
,
POTAMANAXAS,tunga Bell 1956 - Valid Name
,
POTAMANAXAS,xantholeuce Mabille 1888 - Valid Name
,
MYLON,MYLON Godman & Salvin 1894 - Valid Name
,
MYLON,* EUDAMIDAS Godman & Salvin 1895 - Junior subjective synonym
,
MYLON,ander Evans 1953 - Valid Name
,
MYLON,andrea Evans 1953 - Valid Name
,
MYLON,cajus Plötz 1884 - Valid Name
,
MYLON,hera Evans 1953 - Valid Name
,
MYLON,* obscurior Schaus 1902 - Junior subjective synonym
,
MYLON,illineatus Mabille & Boullet 1917 - Valid Name
,
MYLON,toxina Evans 1953 - Valid Name
,
MYLON,jason Ehrmann 1907 - Valid Name
,
MYLON,* exstincta Mabille & Boullet 1917 - Junior subjective synonym
,
MYLON,lassia Hewitson 1868 - Valid Name
,
MYLON,* parvus Mabille & Boullet 1917 - Junior subjective synonym
,
MYLON,* pulcherius Felder 1869 - Junior subjective synonym
,
MYLON,menippus Fabricius 1776 - Valid Name
,
MYLON,* albescens Mabille & Boullet 1917 - Junior subjective synonym
,
MYLON,* melander Cramer 1782 - Junior subjective synonym
,
MYLON,mestor Evans 1953 - Valid Name
,
MYLON,orsa Evans 1953 - Valid Name
,
MYLON,pelopidas Fabricius 1793 - Valid Name
,
MYLON,* brunnea Mabille & Boullet 1917 - Junior subjective synonym
,
MYLON,* ozema Butler 1870 - Junior subjective synonym
,
MYLON,salvia Evans 1953 - Valid Name
,
MYLON,zephus Butler 1870 - Valid Name
,
MYLON,albodiscus Mabille & Boullet 1917 - Valid Name
,
MYLON,* puncticornis Strand 1920 - Junior subjective synonym
,
GORGYTHION,GORGYTHION Godman & Salvin 1896 - Valid Name
,
GORGYTHION,alcandra Mabille 1878 - Valid Name
,
GORGYTHION,begga Prittwitz 1868 - Valid Name
,
GORGYTHION,plautia Möschler 1876 - Valid Name
,
GORGYTHION,* beggoides Schaus 1902 - Junior subjective synonym
,
GORGYTHION,* chacona Plötz 1886 - Junior subjective synonym
,
GORGYTHION,pyralina Möschler 1876 - Valid Name
,
GORGYTHION,* marginata Schaus 1902 - Junior subjective synonym
,
GORGYTHION,* tucumana Burmeister 1878 - Junior subjective synonym
,
GORGYTHION,beggina Mabille 1897 - Valid Name
,
GORGYTHION,escalophoides Hayward 1941 - Valid Name
,
GORGYTHION,vox Evans 1953 - Valid Name
,
GORGYTHION,canda Evans 1953 - Valid Name
,
CHIOMARA,CHIOMARA Godman & Salvin 1899 - Valid Name
,
CHIOMARA,asychis Stoll 1780 - Valid Name
,
CHIOMARA,autander Mabille 1891 - Valid Name
,
CHIOMARA,* dilucida Möschler 1876 - Junior subjective synonym
,
CHIOMARA,georgina Reakirt 1868 - Valid Name
,
CHIOMARA,* pelagica Weeks 1891 - Junior subjective synonym
,
CHIOMARA,grenada Evans 1953 - Valid Name
,
CHIOMARA,* palica Mabille 1888 - Junior subjective synonym
,
CHIOMARA,simon Evans 1953 - Valid Name
,
CHIOMARA,vincenta Evans 1953 - Valid Name
,
CHIOMARA,zania Evans 1953 - Valid Name
,
CHIOMARA,crenda Evans 1953 - Valid Name
,
CHIOMARA,khalili Riley 1934 - Valid Name
,
CHIOMARA,mithrax Möschler 1878 - Valid Name
,
CHIOMARA,* gundlachi Skinner & Ramsden 1923 - Junior subjective synonym
,
CHIOMARA,* noctula Plötz 1884 - Junior subjective synonym
,
CHIOMARA,* selma Bell 1940 - Junior subjective synonym
,
CHIOMARA,punatum Mabille 1878 - Valid Name
,
CHIOMARA,* basigutta Plötz 1884 - Junior subjective synonym
,
CHIOMARA,* marthona Schaus 1902 - Junior subjective synonym
,
CHIOMARA,* silvia Mabille 1897 - Junior subjective synonym
,
TIMOCHARES,TIMOCHARES Godman & Salvin 1896 - Valid Name
,
TIMOCHARES,ruptifasciata Plötz 1884 - Valid Name
,
TIMOCHARES,runia Evans 1953 - Valid Name
,
TIMOCHARES,trifasciata Hewitson 1868 - Valid Name
,
TIMOCHARES,* hemula Godman & Salvin 1896 - Junior subjective synonym
,
TIMOCHARES,* obscurior Draudt 1925 - Junior subjective synonym
,
TIMOCHARES,sanda Evans 1953 - Valid Name
,
CAMPTOPLEURA,CAMPTOPLEURA Mabille 1877 - Valid Name
,
CAMPTOPLEURA,auxo Möschler 1878 - Valid Name
,
CAMPTOPLEURA,* cincta Mabille & Boullet 1917 - Junior subjective synonym
,
CAMPTOPLEURA,* indecora Hayward 1937 - Junior subjective synonym
,
CAMPTOPLEURA,impressus Mabille 1887 - Valid Name
,
CAMPTOPLEURA,janthinus Capronnier 1874 - Valid Name
,
CAMPTOPLEURA,* ebenus Mabille 1883 - Junior subjective synonym
,
CAMPTOPLEURA,oaxaca Freeman 1968 - Valid Name
,
CAMPTOPLEURA,termon Hopffer 1874 - Valid Name
,
