Pair,Clade,Sequence_id,Aln_len_bases,Num_loci_used
1,Potamanaxas,UK54_Potamanaxas_sp_,9216,7
1,Mylon,176_ADW_Mylon_pelopidas,9216,7
1,Outgroup,UK47_Anastrus_sp_,9216,7
2,Gorgythion,180_ADW_Gorgythion_begga,7713,7
2,Chiomara,ADW258_Chiomara_georgina,7713,7
2,Outgroup,483_ADW_Theagenes_dichrous,7713,7
3,Timochares,177_ADW_Timochares_trifasciata,11016,7
3,Camptopleura,81_ADW_Camptopleura_auxo,11016,7
3,Outgroup,485_ADW_Ebrietas_anacreon,11016,7
4,Cycloglypha,UK35_Cycloglypha_sp_,10764,7
4,Ebrietas,485_ADW_Ebrietas_anacreon,10764,7
4,Outgroup,435_ADW_Helias_phalaenoides,10764,7
5,Achlyodes,NW85_8_Achlyodes_busiris,8541,7
5,Aethilla,521_ADW_Aethilla_lavochrea,8541,7
5,Outgroup,UK49_Eantis_thraso,8541,7
6,Pyrgus,2_ADW_Pyrgus_communis,9540,7
6,Heliopetes,74_ADW_Heliopetes_alana,9540,7
6,Outgroup,254_ADW_Celotes_nessus,9540,7
7,Staphylus,82_ADW_Staphylus_ceos,9882,7
7,Pholisora,12_ADW_Pholisora_catullus,9882,7
7,Outgroup,390_ADW_Spialia_sertorius,9882,7
8,Elbella,523_ADW_Elbella_scylla,13032,7
8,Parelbella,525_ADW_Parelbella_macleannani,13032,7
8,Outgroup,628_MCZ_Apyrrothrix_araxes,13032,7
9,Creonpyge,626_MCZ_Creonpyge_creon,13077,7
9,Apyrrothrix,628_MCZ_Apyrrothrix_araxes,13077,7
9,Outgroup,516_ADW_Pyrrhopyge_zenodorus,13077,7
10,Yaguna,ADW518_Yaguna_cosyra,10845,7
10,Pyrrhopyge,516_ADW_Pyrrhopyge_zenodorus,10845,7
10,Outgroup,628_MCZ_Apyrrothrix_araxes,10845,7
11,Jemadia,ADW413_Jemadia_hewitsonii,9459,7
11,Mimoniades,ADW465_Mimoniades_montana,9459,7
11,Outgroup,426_ADW_Sarbia_xanthippe,9459,7
12,Sarbia,426_ADW_Sarbia_xanthippe,8433,7
12,Mysoria,AW138_Mysoria_ambigua,8433,7
12,Outgroup,ADW465_Mimoniades_montana,8433,7
13,Sarangesa,546_ADW_Sarangesa_bouvieri,10404,7
13,Eretis,572_ADW_Eretis_plistonicus,10404,7
13,Outgroup,603_MCZ_Pseudocoladenia_dan,10404,7
14,Tagiades,542_ADW_Tagiades_flesus,10197,7
14,Daimio,250_ADW_Daimio_tethys,10197,7
14,Outgroup,ADW371_Odontoptilum_angulata,10197,7
15,Nascus,639_ADW_Nascus_paulliniae,9783,7
15,Phocides,441_ADW_Phocides_lilea,9783,7
15,Outgroup,407_ADW_Dyscophellus_phraxanor,9783,7
16,Polygonus,147_ADW_Polygonus_leo,11925,7
16,Telemiades,509_ADW_Telemiades_fides,11925,7
16,Outgroup,186_ADW_Achalarus_albociliatus,11925,7
17,Thorybes,27_ADW_Thorybes_pylades,9009,7
17,Urbanus,AW280_Urbanus_dorantes,9009,7
17,Outgroup,186_ADW_Achalarus_albociliatus,9009,7
18,Metisella,631_ADW_Metisella_metis,12186,7
18,Carterocephalus,228_ADW_Carterocephalus_palaemon,12186,7
18,Outgroup,275_ADW_Piruna_aea,12186,7
19,Piruna,275_ADW_Piruna_aea,11349,7
19,Dardarina,198_ADW_Dardarina_dardaris,11349,7
19,Outgroup,228_ADW_Carterocephalus_palaemon,11349,7
20,Toxidia,88_ADW_Toxidia_doubledayi,9171,7
20,Neohesperilla,ADW621_Neohesperilla_xanthomera,9171,7
20,Outgroup,304_ADW_Signeta_flammeata,9171,7
21,Motasingha,312_ADW_Motasingha_trimaculata,11817,7
21,Hesperilla,105_ADW_Hesperilla_donnysa,11817,7
21,Outgroup,308_ADW_Oreisplanus_perornata,11817,7
22,Mesodina,116_ADW_Mesodina_aeluropis,10305,7
22,Antipodia,616_MCZ_Antipodia_atralba,10305,7
22,Outgroup,ADW299_Anisynta_dominula,10305,7
23,Halpe,598_MCZ_Halpe_porus,12366,7
23,Thoressa,167_ADW_Thoressa_varia,12366,7
23,Outgroup,615_MCZ_Ampittia_discorides,12366,7
24,Meza,562_ADW_Meza_meza,10035,7
24,Pardaleodes,RS_hsp_14_Pardaleodes_sp,10035,7
24,Outgroup,548_ADW_Ceratrichia_clara,10035,7
25,Osmodes,549_ADW_Osmodes_lindseyi,11979,7
25,Platylesches,RS_hsp_12_Platylesches_picanini,11979,7
25,Outgroup,RS_hsp_11_Paronymus_nevea,11979,7
26,Paronymus,RS_hsp_11_Paronymus_nevea,13059,7
26,Fresna,RS_hsp_13_Fresna_nyassae,13059,7
26,Outgroup,RS_hsp_03_Teniorhinus_ignita,13059,7
27,Suastus,594_MCZ_Suastus_minutus,9423,7
27,Plastingia,331_ADW_Plastingia_naga,9423,7
27,Outgroup,ADW596_Pemara_pugnans,9423,7
28,Idmon,394_ADW_Idmon_obliquans,10548,7
28,Iambrix,396_ADW_Iambrix_salsala,10548,7
28,Outgroup,400_ADW_Ancistroides_nigrita,10548,7
