"","Pair_no","Lineage_first","Lineage_last","N_spp_first","N_spp_last","Host_families_first","Host_families_last","Host_species_first","Host_species_last","Hosts_pgen_first","Hosts_pgen_last","Hosts_mean_first","Hosts_mean_last","Hosts_pd_first","Hosts_pd_last","log_N_spp_first","log_N_spp_last","log_Host_families_first","log_Host_families_last","log_Host_species_first","log_Host_species_last","asin_sqrt_Hosts_pgen_first","asin_sqrt_Hosts_pgen_last","log_Hosts_mean_first","log_Hosts_mean_last","log_Hosts_pd_first","log_Hosts_pd_last","N_spp_std","Host_families_std","Host_species_std","Hosts_pgen_std","Hosts_mean_std","Hosts_pd_std","Rank"
"1","1","Syntomiini","Arctiini","290","2904","21","34","35","98","0.2","0.0612244897959184","3","6.23529411764706","381.706336","776.592275","5.66988092298052","7.97384437594469","3.04452243772342","3.52636052461616","3.55534806148941","4.58496747867057","0.463647609000806","0.250032893098804","1.09861228866811","1.83022575005585","5.94465155903705","6.65491547004232","2.30396345296417","0.481838086892739","-3.09170045248861","-0.213614715902002","0.731613461387741","0.710263911005278","Tribe"
"2","2","Liphyrini","Miletini","6","98","1","1","2","9","0.5","0.444444444444444","1.5","2.5","0","0","1.79175946922805","4.58496747867057","0","0","0.693147180559945","2.19722457733622","0.785398163397448","0.729727656226966","0.405465108108164","0.916290731874155","-Inf","-Inf","2.79320800944252","0","0.0922509828375031","-0.0556705071704821","0.510825623765991","NaN","Tribe"
"3","3","Luciini","Theclini","21","55","32","34","4","30","0.5","0.3","1.10344827586207","1.44230769230769","1.486532","304.792009","3.04452243772342","4.00733318523247","3.46573590279973","3.52636052461616","1.38629436111989","3.40119738166216","0.785398163397448","0.579639740363704","0.0984400728132525","0.366244394954883","0.396445890301338","5.71962960627721","0.962810747509048","0.060624621816435","-0.600896197722442","-0.205758423033744","0.267804322141631","5.32318371597588","Tribe"
"4","5","Mesosemiini","Riodinini","98","486","1","7","4","24","0.25","0.25","4","1.58823529411765","0","163.088888","4.58496747867057","6.18620862390049","0","1.94591014905531","1.38629436111989","3.17805383034795","0.523598775598299","0.523598775598299","1.38629436111989","0.462623521948113","-Inf","5.09429537732441","1.60124114522992","1.94591014905531","-0.862695585521592","0","-0.923670839171778","Inf","Tribe"
"5","7","Ceratocampinae","Hemileucinae","257","816","53","93","296","600","0.195945945945946","0.206666666666667","7.90277777777778","6.7247191011236","1840.154564","4175.422672","5.54907608489522","6.70441435496411","3.97029191355212","4.53259949315326","5.69035945432406","6.39692965521615","0.458560545174568","0.471929875307108","2.06721431511028","1.90579015526589","7.51760484924896","8.33697087096305","1.15533827006889","0.562307579601134","-5.23179890914949","0.0133693301325406","-0.161424159844388","0.819366021714091","Subfamily"
"6","8","Epipaschiinae","Pyralinae","563","1011","49","45","169","107","0.236686390532544","0.196261682242991","2.11926605504587","2.3","1180.973432","1157.059254","6.33327962813969","6.91869521902047","3.89182029811063","3.80666248977032","5.12989871492307","4.67282883446191","0.508084093906292","0.45895814990511","0.75106982829265","0.832909122935104","7.07409431975465","7.05363693936546","0.585415590880781","-0.0851578083403068","-4.62181462101678","-0.049125944001182","0.0818392946424541","-0.0204573803891916","Subfamily"
"7","10","Euteliinae","Stictopterinae","178","122","25","9","109","27","0.293577981651376","0.333333333333333","2.53333333333333","2.05555555555556","543.849594","181.863122","5.18178355029209","4.80402104473326","3.2188758248682","2.19722457733622","4.69134788222914","3.29583686600433","0.572610951125847","0.615479708670387","0.929535958624176","0.72054615474806","6.29867272701021","5.20325432720199","0.377762505558828","1.02165124753198","4.1187369311033","-0.0428687575445398","0.208989803876116","1.09541839980821","Subfamily"
"8","11","Condicinae","Agaristinae","56","623","13","50","66","112","0.136363636363636","0.348214285714286","4.3","2.8125","762.022641","607.844846","4.02535169073515","6.43454651878745","2.56494935746154","3.91202300542815","4.18965474202643","4.71849887129509","0.378228192334186","0.63117879149339","1.45861502269952","1.03407376753054","6.63597626784366","6.4099196619003","2.4091948280523","1.34707364796661","-3.81142654969224","0.252950599159204","-0.424541255168978","-0.226056605943365","Subfamily"
"9","12","Cossinae","Zeuzerinae","370","359","33","61","97","287","0.185567010309278","0.0975609756097561","3.51351351351351","6.49180327868852","863.037888","1910.31476","5.91350300563827","5.88332238848828","3.49650756146648","4.11087386417331","4.57471097850338","5.65948221575962","0.44535124937309","0.317663192982261","1.25661653781136","1.87054034708117","6.76045859278486","7.55502330327486","0.0301806171499912","-0.614366302706831","4.12935972913029","0.12768805639083","-0.613923809269811","-0.79456471049","Subfamily"
"10","13","Microniinae","Uraniinae","51","63","1","4","1","17","0","0.411764705882353","1","2.27272727272727","0","70.390253","3.93182563272433","4.14313472639153","0","1.38629436111989","0","2.83321334405622","0","0.696698361177263","0","0.82098055206983","-Inf","4.25405480187413","0.211309093667207","1.38629436111989","0","0.696698361177263","0.82098055206983","Inf","Subfamily"
"11","15","Acronictinae","Agaristinae","765","623","82","50","427","112","0.281030444964871","0.348214285714286","6.32768361581921","2.8125","2919.174466","607.844846","6.63987583382654","6.43454651878745","4.40671924726425","3.91202300542815","6.05678401322862","4.71849887129509","0.558745674926272","0.63117879149339","1.84493423171531","1.03407376753054","7.97905613816702","6.4099196619003","0.205329315039083","0.494696241836107","5.49803833830235","-0.0724331165671178","0.810860464184773","1.56913647626672","Subfamily"
"12","16","Eariadinae","Bleninae","45","28","13","3","80","4","0.1625","0","7.84210526315789","1","492.256064","58.935184","3.80666248977032","3.3322045101752","2.56494935746154","1.09861228866811","4.38202663467388","1.38629436111989","0.414915812295938","0","2.05950732677902","0","6.19899903638698","4.07643826375731","0.474457979595116","1.46633706879343","3.96711082237794","0.414915812295938","2.05950732677902","2.12256077262967","Subfamily"
"13","17","Lymantriinae","Rivulinae","1575","76","6","4","8","9","0.25","0.333333333333333","3","1.44444444444444","107.866187","70.018517","7.36201055125973","4.33073334028633","1.79175946922805","1.38629436111989","2.07944154167984","2.19722457733622","0.523598775598299","0.615479708670387","1.09861228866811","0.367724780125317","4.68089144965838","4.24875973563927","3.0312772109734","0.405465108108164","1.55584276608154","-0.0918809330720884","0.730887508542792","0.432131714019105","Subfamily"
