taxa,prop_generalist,n_host_families,n_host_species
"""Pterophorus""",1,1,2
?Genus,0.375,17,18
Abaciscus,0,1,1
Abagrotis,0.7058823529411765,43,60
Abantiades,0.3333333333333333,3,4
Abantis,1,7,7
Abisara,0.16666666666666666,6,8
Ableptina?,0,1,1
Abraxas,0.4444444444444444,25,42
Abraximorpha,1,1,4
Abrostola,0.2222222222222222,11,11
Acada,0,1,1
Acalyptris,0,5,5
Acalyptris?,0,1,1
Acanthoclita,1,4,6
Acanthoecia,1,4,4
Acanthophila,0,2,1
Acanthopsyche,0.625,38,40
Acanthopteroctetes,0,1,1
Acanthosphinx,0,1,1
Acasis,0.3333333333333333,4,4
Acatapaustus,0,1,1
Accinctapubes,0,1,1
Acentria,0.5,7,9
Acerbas,0,1,1
Acerra,1,6,11
Achaea,0.5833333333333334,110,187
Achalarus,0.5,2,15
Acharia,1,21,23
Achatia,1,7,9
Achatodes,1,4,6
Acherontia,1,44,141
Achlya,1,2,4
Achlyodes,0.75,4,18
Achroia,0.5,3,3
Achrosis,0,2,2
Achyra,0.8571428571428571,31,43
Achytonix,1,2,5
Acleris,0.7,248,484
Acleris Abietana,0,5,1
Acleris Aenigmana,0,1,1
Acleris Aestuosa,0,1,1
Acleris Affinatana,0,6,1
Acleris Albicomana,0,6,4
Acleris Askoldana,0,1,1
Acleris Aspersana,0,14,4
Acleris Aurichalcana,0,1,1
Acleris Bergmanniana,0,6,3
Acleris Boscana,0,2,1
Acleris Bowmanana,0,6,3
Acleris Braunana,0,2,1
Acleris Britannia,0,5,1
Acleris Busckana,0,2,1
Acleris Caerulescens,0,1,1
Acleris Caledoniana,0,6,4
Acleris Caliginosana,0,1,1
Acleris Caryosphena,0,1,1
Acleris Celiana,0,5,3
Acleris Cervinana,0,2,2
Acleris Chalybeana,0,7,4
Acleris Comandrana,0,2,1
Acleris Comariana,0,11,2
Acleris Conchyloides,0,1,1
Acleris Cornana,0,5,1
Acleris Cristana,0,20,7
