pair_id,dataset,taxa_left,taxa_right,dN_left,dN_right,dS_left,dS_right,level_left,level_right,n_species_left,n_species_right,n_host_record_left,n_host_record_right,prop_generalist_left,prop_generalist_right,n_host_families_left,n_host_families_right,n_host_species_left,n_host_species_right,taxa_size_left,taxa_size_right,label,sign,weight,dN_contrast,dS_contrast,n_host_species_contrast,n_species_contrast,n_host_families_contrast,prop_generalist_contrast
1,genera,Potamanaxas,Mylon,-5.907491113331804,-5.3037319992495355,-2.1330195493012916,-2.3655781423219673,genus,genus,3.367295829986474,2.70805020110221,0,0,NA,NA,NA,NA,NA,NA,29,15,Potamanaxas - Mylon,1,0,-0.6037591140822682,0.23255859302067572,NA,0.6592456288842641,NA,NA
2,genera,Gorgythion,Chiomara,-5.941151733234393,-5.137900645142132,-2.249793421734007,-2.1219148989493215,genus,genus,2.0794415416798357,2.3978952727983707,0,3,NA,1.0471975511965976,NA,1.791759469228055,NA,2.1972245773362196,8,11,Gorgythion - Chiomara,-1,0,0.803251088092261,0.1278785227846857,NA,0.3184537311185349,NA,NA
3,genera,Timochares,Camptopleura,-5.7362023659123125,-6.38896148556697,-1.99336660301174,-2.6361435787133534,genus,genus,1.3862943611198906,1.791759469228055,0,2,0,0.7853981633974484,0,0.6931471805599453,0,1.0986122886681098,4,6,Timochares - Camptopleura,-1,0,-0.6527591196546574,-0.6427769757016133,1.0986122886681098,0.4054651081081644,0.6931471805599453,0.7853981633974484
4,genera,Cycloglypha,Ebrietas,-5.780231646819607,-6.464352331533581,-2.24321301999535,-2.3093680452908782,genus,genus,1.9459101490553132,2.302585092994046,2,0,0.7853981633974484,NA,1.0986122886681098,NA,1.3862943611198906,NA,7,10,Cycloglypha - Ebrietas,-1,0,-0.6841206847139736,-0.06615502529552808,NA,0.35667494393873267,NA,NA
5,genera,Achlyodes,Aethilla,-5.49360258973385,-4.932286327685279,-2.1926191983922316,-1.7802974103246225,genus,genus,2.4849066497880004,2.302585092994046,5,0,1.0471975511965976,NA,1.3862943611198906,NA,2.8903717578961645,NA,12,10,Achlyodes - Aethilla,1,0,-0.561316262048571,-0.4123217880676091,NA,0.18232155679395445,NA,NA
6,genera,Pyrgus,Heliopetes,-6.3619486863209005,-5.650146925490292,-2.171539286881884,-2.0650811474865454,genus,genus,4.406719247264253,2.833213344056216,9,4,0.9553166181245093,1.1071487177940904,2.70805020110221,1.9459101490553132,4.3694478524670215,3.4339872044851463,82,17,Pyrgus - Heliopetes,1,3.297476853487879,-0.7118017608306086,-0.10645813939533877,0.9354606479818752,1.5735059032080372,0.7621400520468968,-0.1518320996695811
7,genera,Staphylus,Pholisora,-6.386583363162002,-6.677437523919927,-1.8385303734757212,-2.1419128676051473,genus,genus,3.9512437185814275,1.3862943611198906,4,1,1.0471975511965976,1.5707963267948966,1.791759469228055,1.791759469228055,2.302585092994046,2.772588722239781,52,4,Staphylus - Pholisora,1,0.8095238095238095,0.2908541607579256,0.3033824941294261,-0.47000362924573524,2.564949357461537,0,-0.5235987755982989
11,genera,Jemadia,Mimoniades,-5.814490596640622,-5.452168091366297,-2.2087123093852044,-2.3948648691133414,genus,genus,2.3978952727983707,2.4849066497880004,1,1,0,0,0,0,0,0,11,12,Jemadia - Mimoniades,-1,0.5,0.3623225052743253,-0.18615255972813705,-0,0.08701137698962969,-0,-0
12,genera,Sarbia,Mysoria,-5.676653807267948,-5.410366870356659,-2.7817182700275467,-1.8339073423369825,genus,genus,2.1972245773362196,2.3978952727983707,0,1,NA,1.5707963267948966,NA,0,NA,1.0986122886681098,9,11,Sarbia - Mysoria,-1,0,0.266286936911289,0.9478109276905642,NA,0.2006706954621511,NA,NA
13,genera,Sarangesa,Eretis,-4.241430257927241,-5.260828922137045,-1.67848792841091,-1.7371406106639284,genus,genus,3.6375861597263857,2.6390573296152584,3,3,0.9553166181245093,0.9553166181245093,1.0986122886681098,1.0986122886681098,1.6094379124341003,2.302585092994046,38,14,Sarangesa - Eretis,1,1.674013921113689,1.0193986642098043,0.05865268225301845,-0.6931471805599456,0.9985288301111273,0,0
14,genera,Tagiades,Daimio,-5.200464966380532,-4.868875349058424,-1.540205736249469,-1.6893364638319854,genus,genus,4.418840607796598,2.995732273553991,12,2,0.684719203002283,1.5707963267948966,2.5649493574615367,1.0986122886681098,2.8903717578961645,1.3862943611198906,83,20,Tagiades - Daimio,1,1.8320431161195492,-0.33158961732210823,0.14913072758251644,1.504077396776274,1.4231083342426074,1.466337068793427,-0.8860771237926136
15,genera,Nascus,Phocides,-5.8074777109949665,-5.961905744866438,-1.773558123298849,-1.8113215654541521,genus,genus,1.9459101490553132,2.833213344056216,3,1,0.6154797086703873,0.6154797086703873,1.3862943611198906,1.0986122886681098,1.6094379124341003,2.3978952727983707,7,17,Nascus - Phocides,-1,0.8181818181818181,-0.1544280338714712,-0.03776344215530303,0.7884573603642704,0.8873031950009029,-0.2876820724517808,-0
16,genera,Polygonus,Telemiades,-5.664177220063841,-5.397695810528315,-2.0931267585446456,-1.8225073781768353,genus,genus,1.791759469228055,3.1780538303479458,2,5,1.5707963267948966,0.9553166181245093,0.6931471805599453,1.6094379124341003,2.0794415416798357,1.791759469228055,6,24,Polygonus - Telemiades,-1,1.769230769230769,0.2664814095355261,0.2706193803678103,-0.2876820724517808,1.3862943611198908,0.916290731874155,-0.6154797086703873
17,genera,Thorybes,Urbanus,-6.583500226299516,-6.584223553636659,-2.8563530130878667,-2.6492248440510737,genus,genus,2.3978952727983707,3.6635616461296463,3,12,0.8860771237926137,0.923511478779244,1.6094379124341003,3.1354942159291497,3.7612001156935624,4.060443010546419,11,39,Thorybes - Urbanus,-1,3.0686406460296096,-7.23327337142976e-4,0.207128169036793,0.2992428948528567,1.2656663733312756,1.5260563034950494,0.03743435498663028
18,genera,Metisella,Carterocephalus,-4.873441864920049,-5.259673742955832,-1.3412062793039652,-1.4335243430069045,genus,genus,3.6109179126442243,3.367295829986474,6,2,0.4205343352839651,1.5707963267948966,1.791759469228055,0.6931471805599453,2.302585092994046,2.1972245773362196,37,29,Metisella - Carterocephalus,1,1.5983086680761098,0.3862318780357832,0.09231806370293927,0.10536051565782634,0.2436220826577502,1.0986122886681096,-1.1502619915109316
19,genera,Piruna,Dardarina,-5.208111098661887,-5.205555886466725,-1.4146403391301656,-1.3038741741989113,genus,genus,2.833213344056216,2.3978952727983707,1,0,0,NA,0,NA,0,NA,17,11,Piruna - Dardarina,1,0,-0.002555212195161971,-0.11076616493125435,NA,0.4353180712578455,NA,NA
20,genera,Toxidia,Neohesperilla,-7.710717325549289,-5.762895739148708,-2.800329977221506,-2.138503884489879,genus,genus,2.302585092994046,1.3862943611198906,0,0,NA,NA,NA,NA,NA,NA,10,4,Toxidia - Neohesperilla,1,0,-1.9478215864005808,-0.6618260927316268,NA,0.9162907318741553,NA,NA
