dataset,pair_id,taxa,sequence_id,alignment_length,n_loci
genera,1,Potamanaxas,UK54_Potamanaxas_sp_,9216,7
genera,1,Mylon,176_ADW_Mylon_pelopidas,9216,7
genera,1,Outgroup,UK47_Anastrus_sp_,9216,7
genera,2,Gorgythion,180_ADW_Gorgythion_begga,7713,7
genera,2,Chiomara,ADW258_Chiomara_georgina,7713,7
genera,2,Outgroup,483_ADW_Theagenes_dichrous,7713,7
genera,3,Timochares,177_ADW_Timochares_trifasciata,11016,7
genera,3,Camptopleura,81_ADW_Camptopleura_auxo,11016,7
genera,3,Outgroup,485_ADW_Ebrietas_anacreon,11016,7
genera,4,Cycloglypha,UK35_Cycloglypha_sp_,10764,7
genera,4,Ebrietas,485_ADW_Ebrietas_anacreon,10764,7
genera,4,Outgroup,435_ADW_Helias_phalaenoides,10764,7
genera,5,Achlyodes,NW85_8_Achlyodes_busiris,8541,7
genera,5,Aethilla,521_ADW_Aethilla_lavochrea,8541,7
genera,5,Outgroup,UK49_Eantis_thraso,8541,7
genera,6,Pyrgus,2_ADW_Pyrgus_communis,9540,7
genera,6,Heliopetes,74_ADW_Heliopetes_alana,9540,7
genera,6,Outgroup,254_ADW_Celotes_nessus,9540,7
genera,7,Staphylus,82_ADW_Staphylus_ceos,9882,7
genera,7,Pholisora,12_ADW_Pholisora_catullus,9882,7
genera,7,Outgroup,390_ADW_Spialia_sertorius,9882,7
genera,8,Elbella,523_ADW_Elbella_scylla,13032,7
genera,8,Parelbella,525_ADW_Parelbella_macleannani,13032,7
genera,8,Outgroup,628_MCZ_Apyrrothrix_araxes,13032,7
genera,9,Creonpyge,626_MCZ_Creonpyge_creon,13077,7
genera,9,Apyrrothrix,628_MCZ_Apyrrothrix_araxes,13077,7
genera,9,Outgroup,516_ADW_Pyrrhopyge_zenodorus,13077,7
genera,10,Yaguna,ADW518_Yaguna_cosyra,10845,7
genera,10,Pyrrhopyge,516_ADW_Pyrrhopyge_zenodorus,10845,7
genera,10,Outgroup,628_MCZ_Apyrrothrix_araxes,10845,7
genera,11,Jemadia,ADW413_Jemadia_hewitsonii,9459,7
genera,11,Mimoniades,ADW465_Mimoniades_montana,9459,7
genera,11,Outgroup,426_ADW_Sarbia_xanthippe,9459,7
genera,12,Sarbia,426_ADW_Sarbia_xanthippe,8433,7
genera,12,Mysoria,AW138_Mysoria_ambigua,8433,7
genera,12,Outgroup,ADW465_Mimoniades_montana,8433,7
genera,13,Sarangesa,546_ADW_Sarangesa_bouvieri,10404,7
genera,13,Eretis,572_ADW_Eretis_plistonicus,10404,7
genera,13,Outgroup,603_MCZ_Pseudocoladenia_dan,10404,7
genera,14,Tagiades,542_ADW_Tagiades_flesus,10197,7
genera,14,Daimio,250_ADW_Daimio_tethys,10197,7
genera,14,Outgroup,ADW371_Odontoptilum_angulata,10197,7
genera,15,Nascus,639_ADW_Nascus_paulliniae,9783,7
genera,15,Phocides,441_ADW_Phocides_lilea,9783,7
genera,15,Outgroup,407_ADW_Dyscophellus_phraxanor,9783,7
genera,16,Polygonus,147_ADW_Polygonus_leo,11925,7
genera,16,Telemiades,509_ADW_Telemiades_fides,11925,7
genera,16,Outgroup,186_ADW_Achalarus_albociliatus,11925,7
genera,17,Thorybes,27_ADW_Thorybes_pylades,9009,7
genera,17,Urbanus,AW280_Urbanus_dorantes,9009,7
genera,17,Outgroup,186_ADW_Achalarus_albociliatus,9009,7
genera,18,Metisella,631_ADW_Metisella_metis,12186,7
genera,18,Carterocephalus,228_ADW_Carterocephalus_palaemon,12186,7
genera,18,Outgroup,275_ADW_Piruna_aea,12186,7
genera,19,Piruna,275_ADW_Piruna_aea,11349,7
genera,19,Dardarina,198_ADW_Dardarina_dardaris,11349,7
genera,19,Outgroup,228_ADW_Carterocephalus_palaemon,11349,7
genera,20,Toxidia,88_ADW_Toxidia_doubledayi,9171,7
genera,20,Neohesperilla,ADW621_Neohesperilla_xanthomera,9171,7
genera,20,Outgroup,304_ADW_Signeta_flammeata,9171,7
genera,21,Motasingha,312_ADW_Motasingha_trimaculata,11817,7
genera,21,Hesperilla,105_ADW_Hesperilla_donnysa,11817,7
genera,21,Outgroup,308_ADW_Oreisplanus_perornata,11817,7
genera,22,Mesodina,116_ADW_Mesodina_aeluropis,10305,7
