level,taxa,n_species,n_host_record
genus,Abablemma,6,0
genus,Abacena,10,0
genus,Abachausia,1,0
genus,Abaciscus,24,1
genus,Abacistis,2,0
genus,Abaera,7,0
genus,Abakabaka,1,0
genus,Abancaya,1,0
genus,Abantiades,14,4
genus,Abantis,24,1
genus,Abareia,1,0
genus,Abegesta,3,0
genus,Abisara,87,4
genus,Ablepsis,6,0
genus,Ableptina,3,0
genus,Abnormipterus,1,0
genus,Aboetheta,1,0
genus,Abolla,1,0
genus,Abraxaphantes,1,0
genus,Abraxas,200,8
genus,Abraxesis,1,0
genus,Abraximorpha,5,1
genus,Abrenthia,1,0
genus,Abrepagoge,1,0
genus,Abriesa,1,0
genus,Abrochia,32,0
genus,Abrochocis,1,0
genus,Abrotesia,1,0
genus,Absala,1,0
genus,Abseudrapa,1,0
genus,Aburina,16,0
genus,Abynotha,2,0
genus,Acada,2,0
genus,Acaenica,1,0
genus,Acallidia,1,0
genus,Acallis,6,0
genus,Acalyphes,1,0
genus,Acalyptris,40,0
genus,Acantharctia,15,0
genus,Acanthermia,43,0
genus,Acantheucosma,1,0
genus,Acanthocasis,1,0
genus,Acanthocheira,1,0
genus,Acanthoclita,7,2
genus,Acanthocnemes,1,0
genus,Acanthodelta,1,0
genus,Acanthofrontia,5,0
genus,Acantholipes,21,0
genus,Acanthoprora,1,0
genus,Acanthopteroctetes,3,1
genus,Acantuerta,2,0
genus,Acarolella,3,0
genus,Acasis,6,3
genus,Acatapaustus,5,0
genus,Acauro,1,0
genus,Accinctapubes,4,1
genus,Acco,1,0
genus,Accra,9,0
genus,Accuminulia,2,0
genus,Aceclostria,2,0
genus,Acellalis,1,0
genus,Acentria,1,1
genus,Acerbas,8,1
genus,Acerbia,6,0
genus,Achaea,97,21
genus,Achagua,1,0
genus,Achalarus,6,2
genus,Achantodes,1,0
genus,Acharia,1,0
genus,Acharya,2,0
genus,Acherontia,5,3
genus,Achlya,9,1
genus,Achlyodes,12,5
genus,Achrocerides,1,0
genus,Achroia,5,2
genus,Achroosia,1,0
genus,Achrosis,43,2
genus,Achrosis_auctorum,1,0
genus,Achthina,1,0
genus,Achyra,16,7
genus,Acicys,1,0
genus,Acidaliastis,9,0
genus,Acidaliodes,15,0
genus,Acidon,13,0
genus,Acidonistis,1,0
genus,Acidromodes,2,0
genus,Acleracra,1,0
genus,Acleris,255,111
genus,Acleros,9,1
genus,Aclytia,24,0
genus,Acmana,4,0
genus,Acmanthina,2,0
genus,Acmeshachia,1,0
genus,Acmosara,1,0
genus,Acodia,3,0
genus,Acolasis,39,0
genus,Acolastodes,1,0
genus,Acollesis,6,0
genus,Acoloithus,12,1
genus,Acolutha,10,0
genus,Acompsia,11,3
genus,Acompsogma,1,0
genus,Aconcagua,3,0
genus,Acontarache,1,0
genus,Acontia,227,23
genus,Acontiinae New Genus 1,2,0
genus,Acontiinae New Genus 10,2,0
genus,Acontiinae New Genus 11,2,0
genus,Acontiinae New Genus 12,4,0
genus,Acontiinae New Genus 13,2,0
genus,Acontiinae New Genus 14,2,0
genus,Acontiinae New Genus 15,2,0
genus,Acontiinae New Genus 2,2,0
genus,Acontiinae New Genus 3,2,0
genus,Acontiinae New Genus 4,2,0
genus,Acontiinae New Genus 5,1,0
genus,Acontiinae New Genus 6,2,0
genus,Acontiinae New Genus 7,2,0
genus,Acontiinae New Genus 8,2,0
genus,Acontiinae New Genus 9,2,0
genus,Acontiinae Unplaced Species,4,0
genus,Acontiola,2,0
genus,Acosma,1,0
genus,Acosmerycoides,1,0
genus,Acosmeryx,17,4
genus,Acosmetoptera,6,0
genus,Acossus,7,0
genus,Acousmaticus,1,0
genus,Acracona,3,0
genus,Acraephnes,7,0
genus,Acraga,24,4
genus,Acragopsis,2,0
genus,Acrapex_auctorum,1,0
genus,Acrarmostis,1,0
genus,Acrasia,1,0
genus,Acrataula,1,0
genus,Acratodes,2,1
genus,Acremma,1,0
genus,Acria,10,0
genus,Acridotarsa,6,1
genus,Acripia,8,1
genus,Acripioides,1,0
genus,Acritocera,1,1
genus,Acritogramma,1,0
genus,Acritonia,2,0
genus,Acritotilpha,1,0
genus,Acrobasis,93,48
genus,Acrobasopsis,2,0
genus,Acrobiston,1,0
genus,Acroceuthes,2,0
genus,Acroclita,46,10
genus,Acrodipsas,7,3
genus,Acrodontis,8,1
genus,Acrojana,6,0
genus,Acrolophus,236,0
genus,Acroncosa,2,0
genus,Acronicta,169,89
genus,Acronictinae New Genus 1,2,0
genus,Acronictinae New Genus 2,1,0
genus,Acronictinae New Genus 3,3,0
genus,Acronictinae New Genus 4,2,0
genus,Acronictinae New Genus 5,2,0
genus,Acronictinae Unplaced Species,4,0
genus,Acronyctodes,6,0
genus,Acropentias,5,0
genus,Acrophiletis,1,0
genus,Acroplectis,1,0
genus,Acropolitis,9,3
genus,Acropteris,25,1
genus,Acrosemia,7,0
genus,Acrostatheusis,5,0
genus,Acrotomia,3,0
genus,Acrotomia_auctorum,1,0
genus,Acrotomodes,20,0
genus,Acsala,1,0
genus,Actenia,28,0
genus,Acteniopsis,1,0
genus,Actenochroma,1,0
genus,Actias,48,7
genus,Actihema,1,0
genus,Actinocentra,1,0
genus,Actinocrates,1,0
genus,Actinoloba,1,0
genus,Actinor,1,0
genus,Actinoscelis,2,0
genus,Actinotia,9,1
genus,Actizera,10,2
genus,Actrix,2,2
genus,Acupicta,4,0
genus,Acutitornus,5,0
genus,Acyclania,2,0
genus,Acygnatha,5,0
genus,Acyperas,2,0
genus,Acyphas,6,0
genus,Acytolepis,39,1
genus,Acyttara,2,0
genus,Adactylotis,4,0
genus,Adafroptilum,21,0
genus,Adaina,23,3
genus,Adalgisa,2,0
genus,Adamantoscelis,1,0
genus,Adanarsa,1,0
genus,Addaea,14,4
genus,Addyme,6,1
genus,Adeixis,5,0
genus,Adela,70,6
genus,Adelites,3,0
genus,Adelomorpha,1,0
genus,Adeloneivaia,33,5
genus,Adelopsyche,2,0
genus,Adelosemia,6,0
genus,Adelowalkeria,14,1
genus,Adelperga,1,0
genus,Adelpherupa,3,0
genus,Adelphia,2,2
genus,Adenopteryx,2,0
genus,Adesmobathra,1,0
genus,Adetomeris,2,1
genus,Adetoneura,1,0
genus,Adhemarius,20,1
genus,Adicocrita,4,1
genus,Adiopa,1,0
genus,Adisura,10,3
genus,Adites,15,0
genus,Adlerodea,5,0
genus,Adoneta,4,1
genus,Adopaeoides,2,0
genus,Adoxobotys,3,0
genus,Adoxophyes,52,18
genus,Adoxosia,2,0
genus,Adoxotricha,1,0
genus,Adra,3,0
genus,Adrapsa,41,0
genus,Adrepsa,1,0
genus,Adscita,57,2
genus,Adulis,2,0
genus,Adullamitis,1,0
genus,Adyroma,1,0
genus,Aeaea,12,0
genus,Aecas,1,0
genus,Aedia,13,2
genus,Aediodina,1,0
genus,Aedophron,6,1
genus,Aegerina,5,0
genus,Aegerosphecia,4,0
genus,Aegiale,1,1
genus,Aegilia,3,1
genus,Aegleoides,1,0
genus,Aeglotis,1,0
genus,Aegocera,18,1
genus,Aellopos,9,4
genus,Aemene,4,0
genus,Aemilia,14,0
genus,Aemulatrix,2,0
genus,Aemylurgis,1,0
genus,Aenetus,22,9
genus,Aenictes,4,0
genus,Aeolarchis,1,0
genus,Aeolochroma,33,2
genus,Aeolocosma,2,0
genus,Aeolopetra,3,0
genus,Aeolosia,2,0
genus,Aeolosma,1,0
genus,Aeolostoma,3,0
genus,Aeolotrocha,4,0
genus,Aepylopha,1,0
genus,Aeromachus,22,1
genus,Aeronectris,1,0
genus,Aerotypia,1,0
genus,Aeschradia,1,0
genus,Aeschremon,3,0
genus,Aeschrostoma,1,0
genus,Aesiocopa,1,0
genus,Aethalida,8,0
genus,Aethalina,2,0
genus,Aethaloessa,3,1
genus,Aethalopteryx,22,0
genus,Aethalura,7,3
genus,Aetheometra,1,0
genus,Aethes,139,24
genus,Aethesoides,10,0
genus,Aethilla,10,0
genus,Aethiopana,1,1
genus,Aethiophysa,7,0
genus,Aethioprocris,2,0
genus,Aethiopsestis,4,1
genus,Aethodes,1,0
genus,Aetholix,4,1
genus,Aethosia,1,0
genus,Aethria,9,0
genus,Aetia,1,0
genus,Afdera,1,0
genus,Afeda,1,0
genus,Afghanotinea,1,0
genus,Afra,3,0
genus,Afraltha,2,0
genus,Afriberina,9,0
genus,Africalpe,3,0
genus,Africella,2,0
genus,Afrida,31,0
