gid,first,last,,,,,,
ArgKin,1,597,,1,0,,,0
CAD,598,1446,,1,0,,,0
COI-begin,1448,2114,,2,2,,,1
COI-end,2117,2921,,2,2,,,1
EF1a,2923,4161,,1,0,,,0
GAPDH,4163,4852,,2,1,,,0
IDH,4855,5559,,1,0,,,0
MDH,5564,6292,,2,1,,,0
RpS2,6298,6705,,1,0,,,0
RpS5,6708,7322,,0,2,,,0
wingless,7325,7735,,2,1,,,0
